,year,month,day,time (UT sec of day),lat,lon,alt(m),reduced chi^2,P(dBW),mask
0,2024,9,11,72007.399302157,29.47160171,-95.61435436,92253.11,7.3,-8.2,13697
4,2024,9,11,72093.055960093,27.68886949,-95.95198945,100915.64,49.74,-1.8,9128
5,2024,9,11,72099.503861004,28.41443937,-90.29587347,235411.32,33.0,8.1,9128
9,2024,9,11,72118.812697269,29.70677062,-95.24443217,25432.13,3.21,-12.9,13833
16,2024,9,11,72157.648459666,28.22808304,-96.00003187,91230.11,14.06,-5.1,8617
19,2024,9,11,72171.777058494,30.04552888,-96.19052683,46459.44,45.6,-9.9,13697
21,2024,9,11,72338.846665843,30.74134384,-96.80810566,331142.1,39.79,4.7,13833
23,2024,9,11,72378.600617204,30.13739417,-91.52609354,148307.22,20.05,1.8,8617
