,year,month,day,time (UT sec of day),lat,lon,alt(m),reduced chi^2,P(dBW),mask
0,2024,9,11,64202.226468115,5033,-95.35595784,429487.93,93.28,2.7,0x13a9
1,2024,9,11,64203.251624636,13065,-96.28720687,31027.83,145.09,-10.4,0x3309
2,2024,9,11,64204.994060885,12712,-96.41769722,83516.29,325.20,-7.4,0x31a8
3,2024,9,11,64206.611597374,12712,-94.68533813,30558.31,58.75,-8.1,0x31a8
4,2024,9,11,64207.264482548,13697,-96.40780863,80600.87,337.99,-4.1,0x3581
5,2024,9,11,64208.334522445,13089,-95.66578707,36329.47,115.59,-10.3,0x3321
6,2024,9,11,64209.768391591,13185,-95.45450773,103480.64,265.41,-7.1,0x3381
7,2024,9,11,64210.033334970,13096,-96.82609693,129744.38,117.37,-1.2,0x3328
8,2024,9,11,64212.858993205,8617,-96.17886620,42853.26,368.69,-8.1,0x21a9
9,2024,9,11,64213.283405489,8617,-95.42308163,160763.06,182.05,0.4,0x21a9
10,2024,9,11,64213.898551082,13185,-96.66517980,45502.03,359.12,-7.9,0x3381
11,2024,9,11,64215.891688462,13089,-96.33165096,60870.60,371.68,-2.4,0x3321
12,2024,9,11,64224.625869370,5537,-95.00294077,40765.82,263.53,-10.4,0x15a1
13,2024,9,11,64227.745426806,12841,-95.63331490,24711.67,114.00,-14.0,0x3229
14,2024,9,11,64228.124480048,13601,-96.23848078,119595.61,307.34,-5.5,0x3521
15,2024,9,11,64229.459975020,8617,-97.18340557,313828.49,190.40,2.7,0x21a9
16,2024,9,11,64229.505648990,12705,-93.66706238,235391.64,254.55,-0.4,0x31a1
17,2024,9,11,64220.279495230,13096,-111.34658728,3900729793.73,428.42,84.2,0x3328
18,2024,9,11,64233.539516534,13473,-95.76712978,29513.84,12.46,-8.5,0x34a1
19,2024,9,11,64233.756713717,5537,-94.95071618,10441.35,108.25,-11.0,0x15a1
20,2024,9,11,64233.924413127,13449,-94.25598981,190861.85,374.03,-1.4,0x3489
21,2024,9,11,64234.041728207,13065,-94.83283449,82361.09,57.87,-4.4,0x3309
22,2024,9,11,64234.057976996,13697,-95.43750694,214562.49,303.88,-3.0,0x3581
23,2024,9,11,64234.208829487,1929,-95.56572356,-83.38,244.63,-17.7,0x0789
24,2024,9,11,64234.691946495,13065,-96.42236036,15099.31,121.52,-6.8,0x3309
