,year,month,day,time (UT sec of day),lat,lon,alt(m),reduced chi^2,P(dBW),mask
0,2024,9,11,69021.904454343,29.56579563,-95.96095354,130730.82,33.03,-7.7,1449
1,2024,9,11,69032.400189841,27.51765731,-82.82990067,1218498.41,45.48,17.7,12961
2,2024,9,11,69040.288846897,30.10689147,-95.83276307,38985.8,45.53,-6.5,12961
3,2024,9,11,69041.071372847,30.06298549,-97.25846053,429062.54,21.92,5.0,6024
4,2024,9,11,69045.689205243,29.58786634,-95.01190102,47811.43,25.1,-11.9,5769
5,2024,9,11,69053.797814081,29.57164642,-95.71285078,38325.94,19.79,-15.1,9609
6,2024,9,11,69057.001840848,31.33949993,-93.49163706,712550.19,37.27,8.9,13096
7,2024,9,11,69069.944927887,30.77333846,-94.20928001,341409.53,18.51,0.9,8617
8,2024,9,11,69085.320098648,29.38616334,-96.15057499,26076.1,9.04,-11.4,13185
9,2024,9,11,69101.887664194,30.60131796,-93.69193632,56148.82,40.09,-0.3,5928
10,2024,9,11,69117.120422183,30.2435373,-96.09619944,114426.18,8.24,-3.3,14208
11,2024,9,11,69149.572052397,26.98362679,-94.85063128,384296.46,13.89,2.7,9609
12,2024,9,11,69150.43792669,28.8706362,-97.24104048,154783.23,7.68,-3.5,9993
13,2024,9,11,69159.758444773,29.93412888,-95.44685456,59486.26,43.08,-7.4,13984
14,2024,9,11,69166.554691533,20.22689031,-89.1152615,924184.59,34.82,16.8,5921
15,2024,9,11,69167.441585283,29.30197189,-94.98760702,48881.83,13.69,-8.7,10024
16,2024,9,11,69192.678067861,29.05293524,-96.18203656,243010.38,27.31,-3.3,9633
17,2024,9,11,69230.963313463,30.15227499,-94.97641403,30650.75,23.66,-7.7,6024
18,2024,9,11,69237.950752479,26.98304963,-82.96765079,2617090.81,12.46,21.9,5897
19,2024,9,11,69242.721565226,29.03403268,-94.82819148,78987.08,16.56,-7.2,13704
20,2024,9,11,69242.760383602,29.58045978,-93.8013298,191188.51,12.95,-2.1,9609
21,2024,9,11,69246.044733712,29.26850264,-94.48727109,30999.66,31.43,-6.1,10144
22,2024,9,11,69279.201956668,31.24366887,-96.49429628,154875.99,0.77,0.3,9896
23,2024,9,11,69286.889460522,29.68865098,-95.07993582,318302.9,21.7,-0.7,12681
24,2024,9,11,69288.189526661,27.75751044,-98.47646294,112941.71,41.99,0.2,9513
25,2024,9,11,69289.531847922,29.00349023,-95.59560415,282856.91,9.86,-1.2,9633
26,2024,9,11,69293.688130396,30.61555645,-95.73926774,50582.04,14.12,-5.5,4905
27,2024,9,11,69293.766733667,30.25264095,-95.50609028,118369.98,18.53,-1.9,13953
28,2024,9,11,69306.536511014,22.48938746,-101.38661874,493205.85,34.5,10.3,4521
29,2024,9,11,69351.519597424,28.47073529,-95.73759058,102078.92,13.31,-3.9,12585
30,2024,9,11,69354.511752456,30.3173885,-95.21750026,112639.02,17.76,-7.3,12681
31,2024,9,11,69381.478786844,29.88953342,-96.45711298,149920.26,2.05,-5.4,1953
32,2024,9,11,69395.522865317,34.83767546,-99.05386144,807257.55,14.19,14.7,5032
33,2024,9,11,69414.12091494,29.7692434,-95.64598656,72423.16,2.64,-8.3,13697
34,2024,9,11,69414.446149695,33.29966281,-95.24509571,573433.89,31.42,6.2,8617
35,2024,9,11,69422.680958294,29.66355194,-95.10790494,41733.69,7.59,-10.8,12705
36,2024,9,11,69425.500535777,29.92573857,-95.95674049,105581.96,24.86,-3.8,5032
37,2024,9,11,69430.928247241,29.67681502,-94.90747659,57143.02,31.02,-9.1,12705
38,2024,9,11,69454.539691179,29.58202741,-95.12166041,109396.48,41.5,-6.6,10120
39,2024,9,11,69456.40831022,30.44272542,-94.44744264,123125.01,28.78,-4.2,9121
40,2024,9,11,69462.218634042,29.61257004,-96.41389992,40493.63,29.99,-10.4,12681
41,2024,9,11,69466.803329655,26.011584,-97.04893301,461822.69,43.12,7.3,12585
42,2024,9,11,69474.272718425,31.35149518,-94.43344903,69577.21,41.96,1.5,13096
43,2024,9,11,69491.108092664,48.81441381,-104.00546219,22863481.29,31.51,39.5,10144
44,2024,9,11,69522.696475631,31.08551511,-95.27828663,76552.14,48.42,0.8,5921
45,2024,9,11,69538.602213926,30.69674313,-92.59854675,287495.68,29.12,5.8,14112
46,2024,9,11,69541.002167712,27.45456232,-97.58973488,268629.49,37.59,10.5,14112
47,2024,9,11,69543.336914369,30.3107809,-96.34293681,195260.23,4.29,-1.2,13089
48,2024,9,11,69557.125847193,29.23684774,-94.7956235,37911.39,46.25,-7.3,13065
49,2024,9,11,69557.365634288,31.69046168,-99.40799174,403607.17,23.95,7.5,1960
50,2024,9,11,69558.549841158,28.61603711,-94.8633567,58366.48,19.01,-5.3,13449
51,2024,9,11,69561.33473415,29.06137187,-95.74340649,45808.97,14.07,-8.2,10024
52,2024,9,11,69562.294958177,29.45484309,-95.43113109,29711.35,12.84,-12.2,13864
53,2024,9,11,69570.490212834,29.49958318,-95.92546435,25379.65,19.54,-13.5,12968
54,2024,9,11,69574.456935926,29.39834364,-96.41362143,83412.55,13.03,-8.4,12712
55,2024,9,11,69575.103061217,27.67984058,-95.98493104,157288.89,33.87,-2.1,13697
56,2024,9,11,69575.330965059,29.63554049,-95.65173847,39721.91,1.37,-10.2,10120
57,2024,9,11,69576.505741449,30.41932446,-95.68845832,59592.4,46.89,-5.9,5897
