,year,month,day,time (UT sec of day),lat,lon,alt(m),reduced chi^2,P(dBW),mask
0,2024,9,11,68400.083058777,12937,-93.83630863,247862.56,171.41,0.6,0x3289
1,2024,9,11,68400.309561692,4521,-95.50536159,6306.50,155.31,-20.9,0x11a9
2,2024,9,11,68401.518426347,13096,-95.48290434,5179.31,251.66,-10.3,0x3328
3,2024,9,11,68401.699518713,13065,-94.32090679,212194.52,68.44,-1.0,0x3309
4,2024,9,11,68403.398384563,13704,-91.50785875,755284.43,423.74,10.2,0x3588
5,2024,9,11,68403.817404756,5921,-95.57376637,58178.37,445.01,-6.7,0x1721
6,2024,9,11,68404.100571584,13960,-93.98218253,14830.92,347.33,-2.7,0x3688
7,2024,9,11,68404.167697892,13089,-95.46694535,40137.99,290.08,-5.2,0x3321
8,2024,9,11,68404.783417709,10120,-97.58440469,57707.45,217.21,-3.6,0x2788
9,2024,9,11,68406.206718574,5513,-95.46782274,5126.37,278.93,-16.0,0x1589
10,2024,9,11,68407.014076423,14081,-95.58917267,259986.89,328.50,1.4,0x3701
11,2024,9,11,68407.164044047,12681,-97.00219645,303472.98,48.31,-0.3,0x3189
12,2024,9,11,68407.231039648,9993,-96.61591272,153584.42,145.47,-4.5,0x2709
13,2024,9,11,68407.500996493,14088,-94.56266857,165970.87,27.90,4.2,0x3708
14,2024,9,11,68410.797120052,14088,-95.78060410,61716.95,211.35,-1.7,0x3708
15,2024,9,11,68411.059904032,12705,-96.12547125,199276.88,30.33,-4.3,0x31a1
16,2024,9,11,68411.708256134,937,-95.54787029,90807.85,84.18,-10.6,0x03a9
17,2024,9,11,68412.346808863,5032,-96.28157369,963348.04,140.55,12.0,0x13a8
18,2024,9,11,68413.457688634,13480,-95.69242871,105123.10,239.37,-6.0,0x34a8
19,2024,9,11,68414.032191664,13697,-96.12164153,33347.77,181.53,-5.5,0x3581
20,2024,9,11,68414.239379534,13704,-95.19535591,62894.47,342.95,-8.8,0x3588
21,2024,9,11,68414.398987850,13089,-94.83428809,159488.25,27.06,-2.2,0x3321
22,2024,9,11,68417.273510659,13480,-95.63514980,27306.53,168.79,-14.4,0x34a8
23,2024,9,11,68417.794206137,13065,-99.93896823,334857.27,15.69,5.0,0x3309
24,2024,9,11,68418.047422044,13185,-97.01137437,273883.47,121.00,0.6,0x3381
25,2024,9,11,68418.494467683,10120,-94.23502410,83489.80,15.47,-1.6,0x2788
26,2024,9,11,68419.312218155,13192,-97.27885915,242409.42,367.79,-0.4,0x3388
27,2024,9,11,68419.830574815,5025,-95.39438145,115116.35,331.58,-3.4,0x13a1
28,2024,9,11,68423.160991808,13192,-94.59418010,47466.79,146.30,-4.9,0x3388
29,2024,9,11,68424.545954032,9121,-96.61046815,94298.28,174.59,-7.4,0x23a1
30,2024,9,11,68429.803167851,13601,-95.31604333,61519.70,382.28,-10.1,0x3521
31,2024,9,11,68431.577043381,6017,-96.40663161,34806.49,111.14,-8.3,0x1781
32,2024,9,11,68432.252413368,13089,-95.97723089,80225.45,7.93,-1.3,0x3321
33,2024,9,11,68434.225541677,10120,-95.58057110,49783.05,117.26,-9.2,0x2788
34,2024,9,11,68434.860133691,5001,-95.54048750,100554.13,271.14,-8.0,0x1389
35,2024,9,11,68435.525992579,13065,-96.82245188,118095.13,2.95,-5.6,0x3309
36,2024,9,11,68436.559737646,12712,-95.14090767,43047.75,118.38,-10.1,0x31a8
37,2024,9,11,68437.400823881,12712,-96.12253867,65681.63,135.24,-10.6,0x31a8
38,2024,9,11,68438.723606908,5001,-95.87017867,134780.87,78.79,-7.0,0x1389
39,2024,9,11,68439.200356459,4521,-96.25386939,208585.36,219.80,-4.2,0x11a9
40,2024,9,11,68439.272112945,13960,-95.28751074,14334.81,184.48,-13.7,0x3688
41,2024,9,11,68441.008358536,13096,-94.70085374,24019.59,76.31,-5.7,0x3328
42,2024,9,11,68442.490855804,13953,-95.74045742,30613.75,99.06,-9.2,0x3681
43,2024,9,11,68443.928596995,5897,-95.34073723,170538.77,467.18,-2.7,0x1709
44,2024,9,11,68446.023769650,9896,-95.21072742,50655.73,124.73,-12.0,0x26a8
45,2024,9,11,68446.689019647,13065,-94.99685560,286951.44,161.66,4.4,0x3309
46,2024,9,11,68447.356612501,14081,-95.47160722,26355.08,347.80,-8.2,0x3701
47,2024,9,11,68447.869627773,14112,-95.59741810,21329.63,456.55,-10.4,0x3720
48,2024,9,11,68452.329830326,12585,-96.07208309,41886.77,270.87,-11.0,0x3129
49,2024,9,11,68452.362534323,5928,-96.26555104,192886.61,186.14,4.8,0x1728
50,2024,9,11,68455.518256483,13192,-91.75391731,871643.85,348.17,11.5,0x3388
51,2024,9,11,68456.387198283,6017,-95.13567481,44695.81,283.63,-10.1,0x1781
52,2024,9,11,68472.323572235,10120,-94.91968199,182760.70,152.34,-0.2,0x2788
53,2024,9,11,68473.332563285,5417,-95.53885075,10464.26,395.05,-17.7,0x1529
54,2024,9,11,68475.416084631,13216,-95.04551047,27510.24,192.36,-8.9,0x33a0
55,2024,9,11,68487.092593576,6024,-95.58221436,63805.57,268.82,-9.1,0x1788
56,2024,9,11,68489.711512702,9889,-95.83148516,35254.69,414.97,-12.1,0x26a1
57,2024,9,11,68493.126505891,14081,-97.02212052,159649.76,207.15,2.3,0x3701
58,2024,9,11,68494.816988266,13728,-98.43057848,82466.30,330.02,4.6,0x35a0
59,2024,9,11,68496.488977361,9385,-94.74225620,1053500.32,101.98,12.7,0x24a9
60,2024,9,11,68500.358219459,9633,-95.39402008,201721.64,173.55,-3.4,0x25a1
61,2024,9,11,68504.378727155,13984,-96.08326754,58596.30,252.97,1.9,0x36a0
62,2024,9,11,68509.480101843,1953,-96.09426260,54205.93,344.48,-6.8,0x07a1
63,2024,9,11,68509.738997069,5544,-96.57565771,142656.09,134.89,-3.0,0x15a8
64,2024,9,11,68512.687544186,12841,-94.84178577,66224.29,164.94,-7.0,0x3229
65,2024,9,11,68516.002174976,14081,-96.19138099,130782.98,313.72,-2.9,0x3701
66,2024,9,11,68518.214997504,12457,-94.97731092,17311.42,117.47,-8.4,0x30a9
67,2024,9,11,68519.618107776,10120,-96.16526449,32485.05,35.61,-8.1,0x2788
68,2024,9,11,68519.769360747,5032,-94.66160959,144375.41,282.49,0.3,0x13a8
69,2024,9,11,68522.701852513,14088,-94.80835282,36521.10,378.82,-6.9,0x3708
70,2024,9,11,68523.710019086,12585,-95.80360094,76624.98,254.07,-9.7,0x3129
71,2024,9,11,68524.601998242,6048,-95.22235226,76184.18,367.83,-3.1,0x17a0
72,2024,9,11,68525.518636867,10144,-95.35577705,30196.18,340.19,-9.7,0x27a0
73,2024,9,11,68525.583273275,13192,-95.19341776,193056.96,306.34,-3.2,0x3388
74,2024,9,11,68526.277843968,12705,-97.93240278,73653.59,174.36,-1.4,0x31a1
75,2024,9,11,68528.519136954,5001,-95.15981443,17466.75,392.51,-11.4,0x1389
76,2024,9,11,68529.165282386,5025,-94.59217365,449128.56,146.08,3.2,0x13a1
77,2024,9,11,68529.431383130,5025,-89.43269795,453574.60,149.81,12.5,0x13a1
78,2024,9,11,68529.690053589,13697,-95.05617768,109967.13,184.69,-6.7,0x3581
79,2024,9,11,68530.082842006,4905,-95.49708804,86288.43,422.59,-8.0,0x1329
