,year,month,day,time (UT sec of day),lat,lon,alt(m),reduced chi^2,P(dBW),mask
0,2024,9,11,70200.213154519,13728,-99.02903001,386787.24,91.02,7.5,0x35a0
1,2024,9,11,70201.922066029,14081,-95.70739288,18001.66,484.22,-11.3,0x3701
2,2024,9,11,70203.456397302,8617,-94.25288617,74912.36,230.27,-3.4,0x21a9
3,2024,9,11,70203.515360949,12705,-94.65244458,73035.76,456.66,-5.4,0x31a1
4,2024,9,11,70203.640127553,9121,-95.66508979,49962.53,473.78,-11.7,0x23a1
5,2024,9,11,70204.065437166,13601,-94.07829353,58242.74,56.98,-3.1,0x3521
6,2024,9,11,70205.805414724,10017,-95.27634390,111820.68,102.69,-1.0,0x2721
7,2024,9,11,70205.990026941,10113,-95.16171942,226003.89,67.63,-1.9,0x2781
8,2024,9,11,70206.039460318,13065,-95.95004806,102049.70,58.82,-7.5,0x3309
9,2024,9,11,70206.174319053,9128,-95.02951530,95250.05,264.91,-5.7,0x23a8
10,2024,9,11,70206.264245917,13601,-95.21435325,72530.74,249.30,-7.5,0x3521
11,2024,9,11,70206.314262931,13601,-95.23172138,59945.68,359.62,-9.4,0x3521
12,2024,9,11,70206.440525171,9121,-95.95113402,55468.84,117.35,-11.4,0x23a1
13,2024,9,11,70206.939473099,13185,-94.54504586,565307.08,228.66,5.3,0x3381
14,2024,9,11,70209.507365238,9121,-95.38551515,178042.13,304.58,-3.4,0x23a1
15,2024,9,11,70209.624848959,9121,-96.30151801,45515.18,333.75,-9.9,0x23a1
16,2024,9,11,70210.507912779,9633,-95.87327414,39199.14,46.96,-12.1,0x25a1
17,2024,9,11,70212.066370236,12705,-96.51678548,126556.53,249.97,-6.4,0x31a1
18,2024,9,11,70212.873514670,14081,-96.01990752,4788.72,194.99,-4.5,0x3701
19,2024,9,11,70213.671575022,5001,-95.80237635,7699.36,343.39,-15.3,0x1389
20,2024,9,11,70213.989217845,9128,-95.71618079,26937.97,151.73,-11.6,0x23a8
21,2024,9,11,70214.405121998,13192,-94.77927688,16080.73,499.83,-6.7,0x3388
22,2024,9,11,70214.972366823,13960,-95.34671004,10453.98,215.74,-6.6,0x3688
23,2024,9,11,70217.414764173,9609,-95.85056635,22539.36,176.06,-14.3,0x2589
24,2024,9,11,70217.709444874,13185,-95.15669865,111590.34,54.32,-5.2,0x3381
25,2024,9,11,70218.674609309,6017,-95.77367943,8761.19,33.80,-11.1,0x1781
26,2024,9,11,70219.214628174,12705,-95.26372173,502.23,368.97,-8.1,0x31a1
27,2024,9,11,70219.434131643,13480,-95.92062661,65058.38,145.47,-7.3,0x34a8
28,2024,9,11,70219.560821595,8617,-96.00378822,295403.32,100.26,-0.8,0x21a9
29,2024,9,11,70220.725938237,14208,-94.76869138,158984.01,87.29,-1.2,0x3780
30,2024,9,11,70221.359273448,9121,-95.63491769,326312.10,89.41,0.4,0x23a1
31,2024,9,11,70222.235554372,12681,-94.01064802,136789.60,372.42,-3.2,0x3189
32,2024,9,11,70222.608456568,13473,-94.78025381,20096.60,362.88,-6.2,0x34a1
33,2024,9,11,70223.043767333,13728,-95.26991998,25240.84,185.63,-9.7,0x35a0
34,2024,9,11,70223.367985299,9640,-95.44402476,219132.54,5.67,1.5,0x25a8
35,2024,9,11,70223.693745220,12681,-95.67986545,70468.01,29.46,-11.0,0x3189
36,2024,9,11,70225.353369688,5513,-102.98630664,1178392.23,331.85,13.0,0x1589
37,2024,9,11,70226.244299754,13697,-94.17029742,385075.35,213.61,1.9,0x3581
38,2024,9,11,70226.532688532,12585,-94.90712684,306024.93,45.20,2.4,0x3129
39,2024,9,11,70229.611580840,13216,-94.15335419,94040.29,2.29,0.3,0x33a0
40,2024,9,11,70229.839041298,5513,-95.80240129,17536.11,251.89,-14.7,0x1589
41,2024,9,11,70230.786644092,5513,-95.23728394,4317.71,20.01,-16.1,0x1589
42,2024,9,11,70231.893535957,13089,-95.76953768,41300.89,241.55,-10.4,0x3321
43,2024,9,11,70231.902274336,9889,-96.07246658,272301.18,129.19,1.9,0x26a1
44,2024,9,11,70232.653684478,1449,-96.10702578,28109.02,121.88,-10.7,0x05a9
45,2024,9,11,70233.670173969,13577,-95.12195071,80399.38,154.01,-0.1,0x3509
