,year,month,day,time (UT sec of day),lat,lon,alt(m),reduced chi^2,P(dBW),mask
0,2024,9,11,73300.833235075,29.70731978,-95.08716857,38419.17,1.0,-12.6,1953
1,2024,9,11,73330.991802521,29.87333967,-96.28321331,88344.23,22.5,-9.7,12705
2,2024,9,11,73351.686736528,29.74102412,-95.21066207,56949.32,11.83,-8.6,13984
3,2024,9,11,73357.947330559,32.45750324,-92.13755636,329933.02,1.84,3.9,12705
4,2024,9,11,73383.274299096,29.55729516,-95.04311029,51218.55,28.63,-9.9,13473
5,2024,9,11,73397.620181891,29.77935328,-94.74343129,182458.19,11.16,-1.6,13857
6,2024,9,11,73408.955923057,29.27386712,-94.58583545,31287.55,49.5,-8.1,6048
7,2024,9,11,73410.634060481,45.9939319,-103.29668731,866796975.11,45.79,71.6,14112
8,2024,9,11,73414.884190011,29.71105295,-95.37882185,151930.5,4.51,-4.5,12457
9,2024,9,11,73422.406755305,29.56212803,-95.12078735,50928.33,40.29,-10.4,5289
10,2024,9,11,73458.543694245,31.37617205,-95.82791432,133016.84,30.71,-2.1,13216
11,2024,9,11,73463.395548653,30.22207754,-94.66480045,147536.28,22.59,-3.2,13192
12,2024,9,11,73466.284092612,34.48973172,-94.8462437,284997.06,26.4,9.1,14112
13,2024,9,11,73478.722831293,29.90628679,-96.16074285,169912.46,19.76,-3.3,13704
14,2024,9,11,73511.181254539,30.67755601,-96.30846799,33425.05,19.57,-3.1,9640
15,2024,9,11,73526.829289091,30.29658268,-94.84443816,35879.81,48.32,-7.2,13216
16,2024,9,11,73541.646526106,29.18270087,-94.69072965,216009.32,42.2,-2.5,13065
17,2024,9,11,73563.782519499,29.35503689,-94.74286536,42112.79,16.71,-8.4,13601
18,2024,9,11,73575.810943959,29.68208088,-95.40603814,30442.72,24.95,-10.6,5544
19,2024,9,11,73581.634466878,29.58949976,-96.50240221,58295.23,5.77,-5.4,13728
20,2024,9,11,73591.091286269,29.17687093,-95.02695516,41770.85,31.76,-10.2,13728
21,2024,9,11,73592.140216143,29.76601254,-94.32538646,65150.75,33.42,-4.5,10024
22,2024,9,11,73593.022134615,29.7954328,-94.74641701,96328.2,13.41,-6.4,13216
23,2024,9,11,73621.871136917,29.73561898,-95.01938756,112173.12,27.63,-3.3,5289
24,2024,9,11,73626.267895011,29.28824055,-96.0845923,69375.68,6.37,-10.2,13185
25,2024,9,11,73658.057419603,27.44208508,-94.9516823,283428.22,42.04,4.8,14112
26,2024,9,11,73658.824458528,30.60024765,-95.45641097,58196.25,45.04,-5.2,1705
27,2024,9,11,73690.235709494,29.4425349,-95.81744471,26517.16,20.02,-5.0,12585
28,2024,9,11,73709.186922925,27.69059399,-90.94473567,789824.06,23.23,9.2,13065
29,2024,9,11,73715.772210623,29.31645542,-95.36496307,53762.63,17.2,-8.6,12712
30,2024,9,11,73755.886093758,31.6671777,-98.50386186,278431.83,48.01,3.4,14081
31,2024,9,11,73791.047329357,29.2686006,-95.6140658,26299.08,19.18,-13.6,9896
