,year,month,day,time (UT sec of day),lat,lon,alt(m),reduced chi^2,P(dBW),mask
0,2024,9,11,84618.287405273,29.55017103,-96.64078507,139837.41,10.86,-6.3,5001
1,2024,9,11,84624.857854841,29.37258431,-94.26387656,162951.2,1.07,-0.4,14112
2,2024,9,11,84642.078955859,29.20630384,-94.73484171,175587.21,27.57,-1.4,14112
3,2024,9,11,84679.259512789,36.20696936,-94.47404319,923326.12,15.0,12.3,13089
6,2024,9,11,84709.211188989,29.34126361,-97.03764214,99422.13,26.46,-2.4,13728
8,2024,9,11,84727.310137144,22.94380674,-127.08309059,1878772.83,22.51,23.6,13089
13,2024,9,11,84829.467050864,30.26858129,-94.64696526,122468.11,33.91,-5.7,9121
15,2024,9,11,84902.604143967,29.07824432,-96.29561424,49713.24,31.87,-5.7,14081
16,2024,9,11,84904.213984664,28.86352342,-95.74202314,240191.34,6.84,-2.0,13728
19,2024,9,11,84948.986944959,28.36128959,-92.36970225,341490.25,2.39,5.7,14081
21,2024,9,11,84969.529289657,29.89824792,-95.51143521,56168.64,7.29,-11.9,9121
23,2024,9,11,84993.37952068,28.97854499,-95.17947184,52004.76,41.04,-5.1,13089
24,2024,9,11,84994.662802017,29.70490622,-94.55507808,68478.33,6.57,-8.2,5001
25,2024,9,11,84999.911794441,30.58311819,-94.57928021,259809.94,26.6,0.7,14081
