,year,month,day,time (UT sec of day),lat,lon,alt(m),reduced chi^2,P(dBW),mask
4,2024,9,11,84153.606467301,30.48731265,-96.75073522,155050.37,36.03,-3.1,5025
9,2024,9,11,84254.617572868,30.80185325,-94.5944834,63667.29,46.64,-6.7,6017
10,2024,9,11,84267.651958591,30.28682166,-95.62642477,21317.53,13.32,-14.6,9121
11,2024,9,11,84293.737664015,29.40662146,-96.98135058,134176.3,43.04,-3.6,6017
14,2024,9,11,84344.223908426,30.82804967,-96.39086948,49315.52,40.31,-7.0,9121
17,2024,9,11,84397.230648385,30.53175421,-95.02931075,97887.55,37.46,-5.7,13065
19,2024,9,11,84462.136047651,28.50103271,-93.92742942,182952.73,13.13,0.0,13065
20,2024,9,11,84504.609152488,29.71741498,-96.35986111,72411.21,48.06,-9.7,5025
21,2024,9,11,84511.435779749,17.10268192,-91.69500171,1544681.72,35.86,15.3,9121
