,year,month,day,time (UT sec of day),lat,lon,alt(m),reduced chi^2,P(dBW),mask
0,2024,9,11,60601.325400375,30.6573339,-94.9770288,85594.37,6.02,-4.0,13728
1,2024,9,11,60602.600441956,30.05759218,-94.34453287,79528.86,46.67,-6.0,9633
3,2024,9,11,60606.285295877,40.62435549,-113.05450346,1196333.37,38.32,19.5,13601
4,2024,9,11,60608.783397642,29.82711348,-94.82784335,99258.54,33.01,-7.0,8617
5,2024,9,11,60614.163273894,28.79383777,-91.81140048,150711.29,49.06,3.2,13728
6,2024,9,11,60615.404243211,30.14379049,-95.22257904,113591.73,42.74,-5.8,13601
8,2024,9,11,60618.135531181,29.40367041,-95.7201299,87384.71,49.62,-10.4,13353
10,2024,9,11,60618.996735834,30.78860061,-97.36959642,78143.49,13.23,-2.4,13577
11,2024,9,11,60622.455789617,28.98688306,-94.74394136,147164.05,0.73,-4.7,13697
12,2024,9,11,60625.632697432,30.64283176,-94.74459988,82132.86,43.36,-3.3,13577
13,2024,9,11,60632.297744453,29.56367469,-96.53252102,158930.64,30.35,-5.1,8873
20,2024,9,11,60657.230462849,29.54620309,-95.61873182,284963.29,25.33,-0.6,13601
22,2024,9,11,60666.154521308,30.12371045,-94.76312577,121172.72,35.89,-0.0,13728
28,2024,9,11,60704.614452742,30.5571063,-97.27319244,311208.22,20.98,1.4,8873
30,2024,9,11,60727.133508606,30.95218997,-94.47871441,65169.93,31.34,-3.7,13697
31,2024,9,11,60734.889070999,28.30172394,-92.65927541,21000.03,14.7,12.3,13353
34,2024,9,11,60737.945847607,29.49620383,-95.59429575,74953.34,35.12,-9.2,8617
36,2024,9,11,60741.762706654,30.3421824,-95.02156751,95009.06,42.77,-7.0,9633
43,2024,9,11,61162.53707099,29.30139577,-96.06432145,96367.0,12.31,-9.4,8617
