,year,month,day,time (UT sec of day),lat,lon,alt(m),reduced chi^2,P(dBW),mask
0,2024,9,11,67813.666257344,33.11521759,-87.9245229,985076.22,18.53,17.3,13216
2,2024,9,11,67836.070099477,30.11968823,-95.03205381,34479.92,45.07,-10.6,5001
3,2024,9,11,67883.978305303,29.72533838,-95.86386152,35856.97,42.75,-12.6,9128
4,2024,9,11,67894.405814262,31.13984264,-91.48677551,853753.13,45.5,8.8,9121
6,2024,9,11,67899.381519161,29.11464802,-96.06270944,358622.7,17.21,1.6,9640
10,2024,9,11,67996.604456837,28.79808393,-94.7492097,41361.4,22.5,-3.6,9128
11,2024,9,11,68003.336178499,28.62054094,-95.94893246,66273.22,3.86,-0.7,13216
15,2024,9,11,68088.650790816,29.37083497,-94.99923914,129393.86,11.57,-5.0,6024
18,2024,9,11,68176.822166739,30.06969378,-95.65603279,497575.01,40.64,6.2,13728
19,2024,9,11,68181.707533431,29.05776813,-95.45361026,195998.21,14.18,-0.1,13728
20,2024,9,11,68204.778598491,30.46283444,-94.95422251,105047.04,14.96,-4.9,12457
21,2024,9,11,68212.143399123,29.29795981,-95.65161712,148830.45,16.73,-4.0,13728
22,2024,9,11,68216.027768173,30.12848388,-94.88978972,58102.38,31.7,-8.2,12457
23,2024,9,11,68228.983176385,30.5827338,-96.20391022,44527.44,30.36,-8.3,9121
24,2024,9,11,68233.644034939,29.41582904,-97.77454415,159536.6,2.49,-1.1,9640
25,2024,9,11,68259.055393443,31.56320466,-93.65644087,217483.29,34.74,0.2,5001
29,2024,9,11,68299.344957138,30.10267854,-95.06408193,73925.22,0.16,-7.3,6024
31,2024,9,11,68328.102828736,26.52384385,-98.62742085,261943.88,11.74,8.9,6024
35,2024,9,11,68367.827633941,31.08436708,-95.60219736,115436.33,30.52,-5.2,5001
38,2024,9,11,68381.138743356,33.0594949,-96.42894287,197617.3,1.59,2.1,9121
39,2024,9,11,68382.389444655,33.92062027,-91.92752062,456049.71,26.03,11.3,5001
43,2024,9,11,68392.912035412,29.37613272,-95.12736322,29386.88,39.74,-12.6,13728
44,2024,9,11,68393.217311628,29.11797595,-95.37831445,197448.75,44.6,-2.0,13728
