,year,month,day,time (UT sec of day),lat,lon,alt(m),reduced chi^2,P(dBW),mask
2,2024,9,11,65019.292979167,29.26803852,-95.80587303,137649.83,49.86,-4.3,4521
3,2024,9,11,65062.659440358,29.36385158,-95.19464619,102500.7,2.68,-7.7,12712
5,2024,9,11,65099.758034203,30.91194834,-95.92034629,155002.01,25.62,-2.0,13216
6,2024,9,11,65146.96386963,28.43738313,-85.18604842,1405645.51,17.69,14.3,12712
7,2024,9,11,65164.912151844,30.44645081,-96.08949843,30179.14,32.62,-8.2,4521
8,2024,9,11,65165.605292256,30.7516077,-95.13883973,72495.83,27.64,-3.1,13216
