,year,month,day,time (UT sec of day),lat,lon,alt(m),reduced chi^2,P(dBW),mask
6,2024,9,11,85326.857545484,29.49582704,-95.26768145,130119.82,43.54,-7.0,12705
7,2024,9,11,85328.417252545,29.20521716,-95.79391173,34801.92,26.19,-3.7,14088
10,2024,9,11,85412.935443395,29.01357504,-95.97491315,68977.63,22.53,-6.3,14081
17,2024,9,11,85534.622510778,30.17670774,-95.45126989,124900.25,39.11,-3.1,14088
22,2024,9,11,85596.843154767,30.02329719,-95.96421414,68495.73,30.3,-10.8,9121
28,2024,9,11,85694.33165009,29.70592257,-94.0665626,939177.63,0.82,7.6,9121
29,2024,9,11,85709.555330092,30.53914697,-95.03707116,187783.58,12.14,-4.3,12705
30,2024,9,11,85713.261775015,29.90795889,-96.01095188,21568.14,42.61,-9.4,14081
32,2024,9,11,85796.703665744,29.62129166,-97.53304936,97073.01,31.52,-6.0,12705
