,year,month,day,time (UT sec of day),lat,lon,alt(m),reduced chi^2,P(dBW),mask
0,2024,9,11,62402.766050021,21.3138802,-105.607793,949779.95,42.62,16.4,13216
2,2024,9,11,62405.055798522,29.7634203,-95.20206412,186605.63,37.16,-5.1,9128
5,2024,9,11,62555.528564249,29.56547641,-95.04972546,195884.56,17.53,-4.9,12681
8,2024,9,11,62628.159679145,28.93954692,-95.79837072,170701.71,5.26,-5.7,9633
12,2024,9,11,62656.731325173,29.96525603,-95.65536041,62267.15,8.9,-12.9,12681
14,2024,9,11,62673.505486589,29.79422847,-96.61350263,90782.41,49.42,-8.4,13449
17,2024,9,11,62797.308147419,29.87264855,-96.96409733,188467.78,17.25,-3.6,9640
19,2024,9,11,62870.849175656,37.28808406,-90.83821707,874357.07,46.02,12.4,9633
21,2024,9,11,62882.422978346,31.02585126,-95.45689929,488765.44,44.79,5.6,13216
23,2024,9,11,62900.637419992,30.56252415,-96.58719518,180691.1,27.26,-2.8,12681
24,2024,9,11,62901.213984913,33.277623,-99.01645279,777976.9,26.32,8.6,9633
26,2024,9,11,62918.518017185,30.37233684,-95.88895587,83395.48,48.91,-8.0,9640
29,2024,9,11,62925.556829305,29.26762852,-95.7021979,92608.23,13.15,-7.0,13449
31,2024,9,11,62935.254890097,29.97554151,-96.19976387,73178.03,31.0,-10.1,9633
34,2024,9,11,62970.799268977,30.73520817,-94.01178753,80501.16,32.23,-1.7,13216
35,2024,9,11,62982.425867246,28.62153364,-96.36454932,135443.44,13.64,-3.6,13216
36,2024,9,11,62985.800748539,28.70865406,-96.93175736,221549.68,39.89,-2.7,9128
37,2024,9,11,62999.687833163,30.67777764,-95.41489842,52436.28,1.78,-6.8,9128
