,year,month,day,time (UT sec of day),lat,lon,alt(m),reduced chi^2,P(dBW),mask
0,2024,9,11,74400.658114404,13353,-95.55656445,14009.94,282.31,-12.4,0x3429
1,2024,9,11,74423.884735241,5513,-98.44411728,204169.38,142.71,2.1,0x1589
2,2024,9,11,74425.394070178,9769,-95.54994549,7983.79,310.94,-14.9,0x2629
3,2024,9,11,74426.039963300,5800,-96.87238232,347681.86,361.68,6.8,0x16a8
4,2024,9,11,74433.832853509,1960,-95.54872493,6851.52,12.36,-15.9,0x07a8
5,2024,9,11,74435.700581244,12705,-95.10121917,86974.77,123.72,-8.2,0x31a1
6,2024,9,11,74437.082276338,13480,-95.27198737,28930.77,213.70,-9.7,0x34a8
7,2024,9,11,74438.442343912,6017,-95.86423113,18101.84,20.24,-15.2,0x1781
8,2024,9,11,74442.690809545,1953,-96.22775955,55842.24,357.48,-8.3,0x07a1
9,2024,9,11,74444.640317864,10120,-96.03576943,187791.88,46.35,-3.9,0x2788
10,2024,9,11,74455.253564083,10017,-96.10639766,369794.86,465.71,1.8,0x2721
11,2024,9,11,74458.819406704,13192,-97.02331165,490356.49,309.43,3.7,0x3388
12,2024,9,11,74463.659482430,12705,-95.90239186,15339.23,225.59,-12.5,0x31a1
13,2024,9,11,74475.250600269,5032,-95.89142235,47714.63,214.95,-10.4,0x13a8
14,2024,9,11,74476.779139743,12712,-97.85170454,476575.60,11.87,6.3,0x31a8
15,2024,9,11,74478.309094988,9633,-96.04390596,13752.35,21.75,-11.7,0x25a1
16,2024,9,11,74485.989945981,12457,-95.91593307,28370.20,34.92,-7.2,0x30a9
17,2024,9,11,74486.856676899,9385,-95.61312786,10604.74,374.38,-16.6,0x24a9
18,2024,9,11,74494.513315979,13577,-92.93836286,618908.54,77.14,9.8,0x3509
19,2024,9,11,74499.208518783,12705,-95.33459982,146136.25,382.81,-5.2,0x31a1
20,2024,9,11,74501.216799316,9121,-95.79154057,104991.87,5.60,-9.8,0x23a1
21,2024,9,11,74502.568522689,13697,-95.53335161,96835.13,104.75,-8.2,0x3581
22,2024,9,11,74507.144793651,9385,-95.80131447,36900.65,353.69,-12.1,0x24a9
23,2024,9,11,74510.204010070,9128,-94.91804362,60196.08,227.47,-8.5,0x23a8
24,2024,9,11,74513.404006305,9128,-94.39087393,173068.06,432.86,-1.3,0x23a8
25,2024,9,11,74515.581215898,10144,-95.32330051,38231.15,27.91,-11.5,0x27a0
26,2024,9,11,74517.590229887,1953,-95.08486796,26147.74,254.68,-13.5,0x07a1
27,2024,9,11,74520.549270319,14088,-94.18772646,198298.24,244.87,1.1,0x3708
28,2024,9,11,74521.038734673,5897,-95.85290844,65945.86,460.26,-8.6,0x1709
29,2024,9,11,74527.735112268,12705,-95.87207723,16390.28,257.89,-14.1,0x31a1
30,2024,9,11,74531.442271137,13089,-93.46280653,241102.60,145.60,0.2,0x3321
31,2024,9,11,74541.280099228,13216,-95.63996136,29997.30,92.05,-10.9,0x33a0
32,2024,9,11,74542.514503377,13096,-97.52252209,94256.65,235.79,0.4,0x3328
33,2024,9,11,74544.430191691,13473,-96.03255456,36572.42,451.13,-8.4,0x34a1
34,2024,9,11,74547.033383352,12457,-95.82249131,13644.77,17.57,-15.2,0x30a9
35,2024,9,11,74555.262226095,13728,-94.40826209,148272.73,459.11,-0.3,0x35a0
36,2024,9,11,74557.177488521,6024,-96.16788843,67748.67,214.11,-4.3,0x1788
37,2024,9,11,74558.653114589,9097,-95.65577527,22611.20,383.58,-14.5,0x2389
38,2024,9,11,74559.906362426,9889,-95.07699471,1081.69,395.93,-14.5,0x26a1
39,2024,9,11,74561.006762553,5032,-94.83353351,19371.90,479.37,-8.7,0x13a8
40,2024,9,11,74561.511683016,5032,-95.48503671,16612.88,101.75,-12.2,0x13a8
41,2024,9,11,74561.966363530,12681,-98.08529368,574341.11,107.74,4.2,0x3189
42,2024,9,11,74561.977859862,12705,-93.74977493,62416.04,65.38,-4.1,0x31a1
43,2024,9,11,74562.365695486,9609,-94.80484682,49098.99,468.52,-7.8,0x2589
44,2024,9,11,74562.423327949,13216,-95.79504018,110039.98,238.06,-6.4,0x33a0
45,2024,9,11,74563.272935469,9121,-95.88939467,210850.83,227.88,-4.9,0x23a1
46,2024,9,11,74563.357948015,9993,-95.66628105,17850.74,224.19,-13.1,0x2709
47,2024,9,11,74566.812914005,13697,-95.95846597,67136.40,349.20,-10.9,0x3581
48,2024,9,11,74567.159213614,14208,-95.41845160,36795.39,288.06,-10.8,0x3780
49,2024,9,11,74570.066904354,13608,-97.83701370,285057.39,213.62,5.3,0x3528
50,2024,9,11,74571.075605955,9121,-95.45073703,100307.85,49.37,-3.6,0x23a1
51,2024,9,11,74571.092935234,10017,-94.70803635,134936.98,18.17,-4.5,0x2721
52,2024,9,11,74572.525681306,5921,-95.45759870,20596.43,109.90,-11.2,0x1721
53,2024,9,11,74574.669477157,13728,-102.64088114,1468863.46,13.10,16.9,0x35a0
54,2024,9,11,74577.436148701,13728,-94.35353044,416112.74,402.09,4.5,0x35a0
55,2024,9,11,74577.984501564,9640,-94.77374909,736804.61,27.40,11.5,0x25a8
56,2024,9,11,74578.695573561,9896,-96.11248233,121129.58,411.60,-3.6,0x26a8
57,2024,9,11,74579.836950659,13601,-95.46315404,51044.21,61.58,-8.6,0x3521
58,2024,9,11,74582.997319064,10144,-95.10767690,59070.69,273.56,-8.9,0x27a0
59,2024,9,11,74583.345256591,13960,-94.44757114,27027.53,37.48,-6.4,0x3688
60,2024,9,11,74583.696546835,13216,-95.92032844,315174.96,452.23,0.5,0x33a0
61,2024,9,11,74583.914382260,13216,-97.16826289,2618.58,311.72,-5.9,0x33a0
62,2024,9,11,74584.640146443,13697,-96.06149975,77407.91,29.61,-10.0,0x3581
63,2024,9,11,74587.640285635,13697,-95.15993114,199296.72,495.58,-4.7,0x3581
64,2024,9,11,74587.890650704,12681,-94.77607467,531.35,82.74,-7.5,0x3189
65,2024,9,11,74588.607289124,9640,-94.86608547,48997.67,15.03,-8.9,0x25a8
66,2024,9,11,74588.727762846,12705,-95.79959997,59713.04,366.83,-11.0,0x31a1
67,2024,9,11,74589.050123749,12937,-96.05156552,13254.10,6.69,-12.5,0x3289
68,2024,9,11,74589.530497344,9609,-95.89088262,19316.53,403.39,-14.9,0x2589
69,2024,9,11,74590.379874630,9609,-95.73941408,202377.28,38.16,-5.3,0x2589
70,2024,9,11,74590.463344055,10113,-94.90719520,34964.76,151.42,-11.1,0x2781
71,2024,9,11,74590.717005949,10144,-97.73494979,5016572.40,62.41,24.2,0x27a0
72,2024,9,11,74591.285034013,12937,-94.96893511,38350.12,22.78,-11.6,0x3289
73,2024,9,11,74591.966208744,12937,-95.77642818,22269.35,246.02,-13.5,0x3289
