,year,month,day,time (UT sec of day),lat,lon,alt(m),reduced chi^2,P(dBW),mask
0,2024,9,11,69602.032006178,13697,-92.66202736,110871.27,6.58,0.4,0x3581
1,2024,9,11,69602.325642919,5025,-94.77234478,56500.71,59.58,-2.6,0x13a1
2,2024,9,11,69602.802516855,9640,-94.47088986,40210.11,81.54,-4.6,0x25a8
3,2024,9,11,69603.001285302,10144,-97.14963824,123104.90,68.34,-1.0,0x27a0
4,2024,9,11,69603.810664323,9121,-95.26962171,34641.04,445.13,-8.1,0x23a1
5,2024,9,11,69604.076469733,9121,-97.88944275,193336.68,25.07,-0.2,0x23a1
6,2024,9,11,69605.227783434,8617,-96.29061127,291764.15,271.36,0.1,0x21a9
7,2024,9,11,69605.911093083,9121,-93.84554974,416052.70,207.10,3.0,0x23a1
8,2024,9,11,69605.986353789,4521,-95.57006659,153254.14,316.44,-4.7,0x11a9
9,2024,9,11,69606.208378973,13449,-96.64937981,58267.12,236.16,-4.7,0x3489
10,2024,9,11,69609.954321220,4521,-96.49919558,87566.73,235.44,-8.7,0x11a9
11,2024,9,11,69610.613491141,12968,-95.71564731,5304.41,362.22,-8.4,0x32a8
12,2024,9,11,69613.297927192,10144,-95.49426469,30162.18,310.63,-8.2,0x27a0
13,2024,9,11,69613.307219391,13216,-95.42132870,10294.51,227.68,-12.8,0x33a0
14,2024,9,11,69614.765365393,14208,-94.52028677,45494.14,489.00,-4.5,0x3780
15,2024,9,11,69617.710189341,13608,-95.38761967,52244.37,143.36,-8.1,0x3528
16,2024,9,11,69619.643473900,9633,-95.36731806,44990.50,208.76,-9.5,0x25a1
17,2024,9,11,69620.783657818,9889,-94.28081982,75341.53,467.15,-1.2,0x26a1
18,2024,9,11,69621.483850369,5793,-95.96066031,25644.13,398.43,0.5,0x16a1
19,2024,9,11,69627.070107441,9121,-95.59904173,64771.03,311.88,-9.1,0x23a1
20,2024,9,11,69627.620386739,6048,-95.45409187,47567.76,162.81,-4.5,0x17a0
21,2024,9,11,69632.371868073,13473,-94.79771054,67877.16,71.34,-4.9,0x34a1
22,2024,9,11,69632.669316780,14208,-95.43327769,144289.68,171.73,-0.1,0x3780
23,2024,9,11,69633.038711556,12968,-97.11303624,60211.34,119.33,2.8,0x32a8
24,2024,9,11,69636.483303214,13728,-104.55496669,1748821.17,498.20,19.2,0x35a0
25,2024,9,11,69637.239758556,13577,-95.48352464,31042.12,203.68,-8.0,0x3509
26,2024,9,11,69640.508247043,13473,-95.08654486,126320.56,340.96,-2.5,0x34a1
27,2024,9,11,69641.071458628,12457,-92.36168081,1224053.96,266.96,13.0,0x30a9
28,2024,9,11,69642.543553844,13185,-94.35201905,62002.03,292.12,-3.6,0x3381
29,2024,9,11,69643.019029710,13728,-95.38159673,37737.10,397.35,-11.7,0x35a0
30,2024,9,11,69643.141691625,13728,-95.01417282,409689.55,293.61,5.8,0x35a0
31,2024,9,11,69647.115300533,9633,-91.44960559,1060326.25,86.59,10.7,0x25a1
32,2024,9,11,69647.452167020,12681,-93.77421477,123225.93,55.51,3.5,0x3189
33,2024,9,11,69647.952355646,14112,-94.43945716,153020.08,303.65,0.8,0x3720
34,2024,9,11,69653.839360674,13601,-96.89545297,145045.27,3.52,-0.4,0x3521
35,2024,9,11,69654.021988666,5417,-95.84246088,97000.69,68.58,-7.8,0x1529
36,2024,9,11,69654.039924324,13601,-95.31644863,82657.96,201.39,-6.6,0x3521
37,2024,9,11,69657.611857552,10017,-95.32394988,53691.97,351.72,-9.5,0x2721
38,2024,9,11,69657.631911064,8617,-96.33015516,140634.67,346.74,-6.3,0x21a9
39,2024,9,11,69657.832120387,1929,-94.41167972,143982.80,284.78,-4.0,0x0789
40,2024,9,11,69658.349188808,13608,-94.86982436,43032.60,276.45,-6.7,0x3528
41,2024,9,11,69660.142110422,13608,-94.76079997,36262.64,391.64,-6.9,0x3528
42,2024,9,11,69661.332523240,9128,-95.02869792,148167.90,132.09,-4.5,0x23a8
43,2024,9,11,69662.565635721,14088,-95.29407096,5165.68,266.54,-10.5,0x3708
44,2024,9,11,69662.882529222,13728,-93.11385320,345946.61,339.44,5.5,0x35a0
45,2024,9,11,69663.774648239,9633,-99.00051497,303183.87,193.46,2.4,0x25a1
46,2024,9,11,69664.110253364,9609,-96.29085817,69301.54,55.18,-6.7,0x2589
47,2024,9,11,69664.616121431,13185,-95.55196487,20264.63,229.09,-11.2,0x3381
48,2024,9,11,69664.682713619,14088,-93.73171332,246920.21,79.27,6.6,0x3708
49,2024,9,11,69665.266699081,14088,-97.19045796,218592.31,200.17,2.2,0x3708
50,2024,9,11,69666.583022708,13192,-96.02132759,28118.61,184.67,-11.1,0x3388
51,2024,9,11,69667.201608255,9385,-95.84071438,79357.53,416.84,-9.6,0x24a9
52,2024,9,11,69667.773836420,9001,-95.45894237,48926.86,237.56,-9.2,0x2329
