,year,month,day,time (UT sec of day),lat,lon,alt(m),reduced chi^2,P(dBW),mask
5,2024,9,11,61464.323857622,29.36542009,-95.41805184,81810.88,25.98,-10.5,12681
7,2024,9,11,61488.177397624,29.25874038,-96.28188702,213644.35,27.22,-4.1,12681
8,2024,9,11,61490.663990383,29.53576996,-94.96854545,51185.42,48.24,-8.4,13577
10,2024,9,11,61598.136639091,30.33250494,-94.17714637,46537.7,5.86,-4.5,13577
11,2024,9,11,61632.252809275,29.88978105,-95.62585076,48935.48,5.33,-9.0,12712
14,2024,9,11,61673.26339604,29.4940417,-94.96701507,75933.26,23.65,-7.9,12712
15,2024,9,11,61730.746889337,29.66022845,-93.99220593,386259.97,36.95,1.4,12681
