,year,month,day,time (UT sec of day),lat,lon,alt(m),reduced chi^2,P(dBW),mask
0,2024,9,11,59404.229293171,29.63013468,-94.97689275,25950.25,294.12,-10.9,8617
1,2024,9,11,59409.839617852,28.86093723,-96.303129,636015.77,160.66,5.4,5001
2,2024,9,11,59412.004526041,28.81006848,-95.44573763,86699.27,464.56,-6.2,13601
3,2024,9,11,59421.92580992,28.31901773,-92.77490532,12911.2,0.1,12.0,13353
4,2024,9,11,59421.934332224,28.19341412,-92.39697006,20469.32,16.13,4.5,13353
5,2024,9,11,59422.132889531,29.28924506,-95.00613536,4064.41,316.41,-13.1,13984
6,2024,9,11,59423.525143864,29.21763983,-95.29571108,56555.54,271.34,-4.9,13704
7,2024,9,11,59438.477003478,29.60308254,-95.43151636,79193.84,412.12,-11.4,8617
8,2024,9,11,59439.599389926,28.0948106,-92.67568605,12502.11,0.02,16.4,13353
9,2024,9,11,59439.633747488,28.12558194,-92.81118969,7566.97,1.69,4.3,13480
10,2024,9,11,59439.637738007,27.74965494,-91.90415994,50248.16,17.34,7.9,13864
11,2024,9,11,59439.637828755,28.08025957,-92.70904947,14306.01,0.85,18.7,13865
12,2024,9,11,59439.653729134,23.67964308,-83.12498032,377617.85,192.33,20.9,13864
13,2024,9,11,59439.657832453,27.65064821,-91.66753609,57416.5,47.85,13.0,13864
14,2024,9,11,59439.671359584,26.35551829,-88.81532622,151124.69,132.19,17.9,13480
15,2024,9,11,59439.678392173,28.04240015,-92.65014757,15741.52,6.27,10.7,13353
16,2024,9,11,59439.733972453,27.85319802,-92.27084708,13856.35,290.12,15.0,9385
17,2024,9,11,59439.73407711,28.58246131,-93.5986481,11352.28,10.9,4.6,5289
18,2024,9,11,59439.736111726,28.64826825,-93.73402378,3017.1,4.56,7.6,13353
19,2024,9,11,59439.736201635,28.06980843,-92.72892338,12995.13,0.1,19.4,13993
20,2024,9,11,59439.834554898,28.08167247,-92.69262811,13420.75,1.84,7.8,13353
21,2024,9,11,59442.725244731,28.52503485,-93.0607621,19941.94,11.98,18.3,9385
22,2024,9,11,59442.773599611,28.41656353,-92.79830473,14173.33,0.38,17.2,13865
23,2024,9,11,59442.781010613,28.42567268,-92.79334736,25446.33,3.91,23.0,13481
24,2024,9,11,59442.797741402,28.41991275,-92.81300086,17255.06,8.0,17.6,13353
25,2024,9,11,59442.886806824,28.40409209,-92.66639036,16156.17,0.28,13.6,13353
26,2024,9,11,59442.887576415,28.48480518,-92.89202463,9800.49,3.67,6.2,13865
27,2024,9,11,59442.887646193,28.80468174,-93.54773818,8825.75,2.29,3.8,12841
28,2024,9,11,59442.914927121,28.41592173,-92.7173786,17995.04,0.82,15.4,13353
29,2024,9,11,59442.915827722,28.42402895,-92.75381972,7406.0,2.12,15.3,13353
30,2024,9,11,59442.923010862,28.47233124,-92.87485448,6132.57,27.0,11.0,13353
31,2024,9,11,59442.927816073,28.45867867,-92.81944859,11169.0,3.2,15.6,13865
32,2024,9,11,59442.929431948,28.4421025,-92.8382072,14610.49,0.3,18.5,13865
33,2024,9,11,59442.940299466,28.47787232,-92.87869152,23004.16,1.93,20.3,13992
34,2024,9,11,59442.942321162,28.41098317,-92.74749786,13012.31,0.24,9.5,13353
35,2024,9,11,59442.945583668,28.45952243,-92.82724681,13259.72,0.5,15.2,13993
36,2024,9,11,59442.948816869,28.36805058,-92.50411053,7871.63,207.11,12.8,13353
37,2024,9,11,59442.949469542,28.46207739,-92.82250646,14328.24,0.54,13.6,13865
38,2024,9,11,59442.950323722,28.45868333,-92.83202457,16029.96,1.16,26.4,13481
39,2024,9,11,59442.968521645,28.39134845,-92.73736294,10539.79,0.18,8.6,13353
40,2024,9,11,59443.012220759,29.17669733,-94.28319167,7815.9,303.98,-3.4,13480
41,2024,9,11,59443.042183123,28.49715984,-93.25830026,29200.49,145.87,2.6,13857
42,2024,9,11,59443.057931552,28.28432465,-92.68036352,17051.88,2.18,11.0,13353
43,2024,9,11,59443.104656344,28.51652556,-92.91542476,13172.39,1.05,20.7,13992
44,2024,9,11,59443.328692329,29.59461532,-95.4759124,16610.56,93.83,-14.0,13473
45,2024,9,11,59457.917499225,28.22182032,-94.78000846,153923.14,466.73,-0.8,12585
46,2024,9,11,59475.527580218,29.88244901,-95.99962058,54478.22,207.79,-10.0,13185
47,2024,9,11,59480.284529439,22.12974949,-78.05395119,515217.15,342.56,24.5,13480
48,2024,9,11,59480.297408864,28.21046011,-92.52242548,18786.84,3.88,11.0,13480
49,2024,9,11,59480.410262385,28.45086841,-92.96417548,13818.77,0.18,12.0,13353
50,2024,9,11,59480.516951735,28.22683465,-92.80873072,12547.88,0.02,15.9,13353
51,2024,9,11,59480.521535405,28.24485006,-92.85477233,7176.32,1.27,9.2,13353
52,2024,9,11,59480.529724872,28.20862935,-92.77173694,8107.47,181.02,12.8,13353
53,2024,9,11,59480.643739655,26.89241353,-89.123735,118636.24,131.34,12.8,13864
54,2024,9,11,59482.0978651,30.31452726,-95.86832359,18733.6,177.23,-12.9,937
55,2024,9,11,59482.881618059,30.71881235,-95.39211584,1047.6,166.01,-10.1,937
56,2024,9,11,59483.013977989,28.86670977,-96.60351447,175410.77,114.8,-3.9,13185
57,2024,9,11,59483.113662011,30.11743763,-95.74790265,116988.53,283.71,-4.4,12937
58,2024,9,11,59488.282662293,32.64435851,-91.27845487,383736.13,281.36,5.3,5001
59,2024,9,11,59489.791508144,29.93333061,-96.83071123,57780.58,461.84,-8.0,9609
60,2024,9,11,59496.103962854,30.9286215,-95.96631411,539356.25,93.34,4.3,9121
61,2024,9,11,59496.650466509,27.43963577,-91.02074544,70451.4,43.82,14.2,13864
62,2024,9,11,59496.71953488,28.09009376,-92.63685408,15644.53,0.12,14.6,13353
63,2024,9,11,59496.729144006,28.10229223,-92.66050157,13235.27,0.05,13.8,13353
64,2024,9,11,59496.739621849,28.08536511,-92.61316441,11624.78,0.31,19.1,9896
65,2024,9,11,59496.746250349,28.06482744,-92.57380158,15511.37,4.75,17.5,13960
66,2024,9,11,59496.748593962,28.11555972,-92.68646463,9200.46,1.02,11.4,13608
67,2024,9,11,59496.852895866,27.58616382,-91.39837447,69602.1,3.15,11.1,13353
68,2024,9,11,59497.821022607,26.3985674,-98.00290398,183978.24,199.6,3.6,13065
