,year,month,day,time (UT sec of day),lat,lon,alt(m),reduced chi^2,P(dBW),mask
0,2024,9,11,85801.746898048,29.44176194,-95.85439306,17648.52,197.57,-9.1,13096
1,2024,9,11,85802.02734343,28.19164286,-97.50808664,231549.95,109.65,-1.8,13697
2,2024,9,11,85804.011674629,30.34789288,-96.32476188,166004.88,8.59,-5.7,13185
3,2024,9,11,85806.534354953,28.97602306,-95.78939873,124647.35,442.34,-3.4,13728
4,2024,9,11,85807.259142747,29.94192169,-96.93457985,529983.98,494.86,6.2,14088
5,2024,9,11,85809.01013444,29.63648347,-95.39886054,60734.66,340.34,-10.4,10120
6,2024,9,11,85810.059933622,29.34760829,-95.91863972,82129.22,285.93,-5.2,5032
7,2024,9,11,85810.562024934,28.47699396,-96.11284257,79778.09,33.44,-4.7,10017
8,2024,9,11,85812.353524627,31.27352549,-95.67205184,165872.19,495.56,-3.7,13697
9,2024,9,11,85814.952869413,30.52393136,-96.04258425,212516.06,298.37,-2.0,13728
10,2024,9,11,85817.910893252,29.31539791,-99.6848046,221434.43,419.13,5.1,14088
11,2024,9,11,85822.53535769,30.0900645,-95.24853091,6712.6,241.24,-12.2,5544
12,2024,9,11,85822.894934847,30.97252018,-94.92904673,135500.72,301.13,1.3,1960
13,2024,9,11,85826.360584812,29.64503067,-96.2059637,84034.78,225.63,-7.4,13089
14,2024,9,11,85827.844258847,29.13964596,-95.21751523,94621.43,334.38,-7.0,13185
15,2024,9,11,85833.345002695,28.80244494,-95.30125345,550004.75,28.45,10.3,14112
16,2024,9,11,85836.113042501,32.28475565,-94.13812431,268191.03,123.8,2.6,5025
17,2024,9,11,85836.796681184,29.6088223,-96.04853505,124046.9,249.84,-8.6,13185
18,2024,9,11,85837.531156735,29.5128431,-95.53139474,25838.78,427.01,-13.6,9769
19,2024,9,11,85839.905431479,30.19921813,-95.6959092,47661.69,330.32,-11.8,5537
20,2024,9,11,85845.279545,29.8515515,-94.78404156,109524.74,18.16,-6.6,12705
21,2024,9,11,85846.007766954,29.99660905,-95.55440127,14841.38,107.93,-15.3,1833
22,2024,9,11,85846.415543572,29.42251268,-95.70340321,18231.9,46.37,-12.9,13065
23,2024,9,11,85856.865780351,30.10397205,-94.81040351,51498.6,55.73,-8.4,13192
24,2024,9,11,85857.201285932,30.11415428,-95.85562941,45801.94,213.82,-10.8,10120
25,2024,9,11,85861.410975156,29.75265422,-95.46614772,13313.46,184.83,-11.4,13729
26,2024,9,11,85868.694361158,29.83062505,-94.31762466,107095.14,68.45,-3.2,13353
27,2024,9,11,85870.708858299,29.84614983,-94.91902116,23452.04,373.42,-5.8,13704
28,2024,9,11,85884.240145407,29.92296281,-93.93119838,198336.89,53.48,-1.9,13704
29,2024,9,11,85885.674602517,27.49092802,-94.86570486,258387.09,7.09,0.7,9640
30,2024,9,11,85886.795216048,34.66851313,-90.65393905,421043.85,81.81,16.4,14088
31,2024,9,11,85889.232027086,29.7400441,-95.51341944,39761.26,475.05,-9.9,4905
32,2024,9,11,85889.281568698,29.46523849,-95.85753306,37951.14,193.23,-14.8,12968
33,2024,9,11,85889.530385659,30.26011077,-96.09776407,34243.86,228.37,-9.2,5897
34,2024,9,11,85890.609621096,29.59797163,-95.40567136,32196.92,319.57,-15.4,13473
35,2024,9,11,85891.948627483,30.06414596,-95.67740009,162337.89,230.34,-1.7,14112
36,2024,9,11,85893.206696122,29.33732397,-95.9274933,228250.22,467.5,-1.2,5537
37,2024,9,11,85896.892545853,35.35429074,-95.90303963,692126.25,106.01,7.5,12705
38,2024,9,11,85897.046488497,31.63973779,-94.11720524,531339.83,77.05,4.5,9128
39,2024,9,11,85897.547388003,28.45776138,-95.36669437,370849.56,312.44,0.3,12705
40,2024,9,11,85898.036633496,30.28512483,-97.47404497,108298.01,310.1,-0.3,5537
41,2024,9,11,85898.497714013,31.46957114,-95.59046483,103705.75,117.62,-4.2,9121
42,2024,9,11,85902.078653085,29.02574782,-96.170001,248926.18,68.71,0.8,13065
43,2024,9,11,85908.594088545,29.11534015,-95.06651618,38723.38,112.28,-11.2,5513
44,2024,9,11,85911.245917263,29.9942228,-95.36805198,24454.61,320.84,-14.0,5032
45,2024,9,11,85911.2767145,31.39399948,-95.42600139,164319.32,357.21,0.2,14208
46,2024,9,11,85912.177583827,28.71134699,-96.10149458,37097.52,211.81,-7.7,12585
47,2024,9,11,85917.294821404,29.59824292,-95.49178887,102774.5,200.14,-4.8,13216
48,2024,9,11,85918.470205276,29.29290141,-95.5702103,144.0,462.28,-14.7,13608
49,2024,9,11,85920.694521368,30.24936832,-95.25344134,42928.61,242.94,-8.6,12705
50,2024,9,11,85922.677387843,29.98476593,-95.597982,13430.59,138.17,-11.4,10144
51,2024,9,11,85923.375529539,29.80499305,-95.72742024,94946.96,236.15,-6.0,14088
52,2024,9,11,85923.677384622,30.47982939,-95.6476513,14756.49,416.69,-1.8,13096
53,2024,9,11,85926.337010864,36.95956066,-110.76322803,856509.1,67.68,13.6,1449
54,2024,9,11,85926.391999048,31.7708342,-95.0728077,258749.3,468.57,2.0,6017
55,2024,9,11,85926.925835755,30.44048523,-96.03837613,17790.35,144.07,-12.2,937
56,2024,9,11,85930.026042938,29.15622959,-95.08814563,58364.58,223.29,-9.3,13857
57,2024,9,11,85930.223436192,29.22155478,-96.45824946,38590.53,292.88,-6.8,14088
58,2024,9,11,85930.90813098,26.88699003,-95.71098982,140965.17,156.69,0.1,13480
59,2024,9,11,85932.531561191,29.19313689,-95.75306154,76191.19,150.73,-8.9,12585
60,2024,9,11,85933.355944735,31.48436134,-94.49587247,245966.86,302.46,2.6,6024
61,2024,9,11,85936.141055073,29.67973928,-95.55580545,9650.33,33.73,-11.2,10144
62,2024,9,11,85941.956412796,28.68321276,-93.15065843,151895.0,456.57,-0.6,13728
63,2024,9,11,85947.204499488,30.30721829,-96.0931818,226727.68,325.5,-3.5,13185
64,2024,9,11,85951.055841245,29.74941604,-95.49689202,30407.43,48.55,-11.2,5897
65,2024,9,11,85961.051335913,30.13336598,-94.93798612,93806.04,302.21,-4.1,13089
66,2024,9,11,85963.79175395,29.86580103,-96.66071467,180233.98,424.47,-1.4,5537
67,2024,9,11,85965.216508948,30.61027118,-96.27766593,302798.51,324.44,6.2,5921
68,2024,9,11,85965.952694124,30.05867838,-95.14402249,22184.21,89.8,-13.6,5001
69,2024,9,11,85967.545338081,29.16696895,-95.98653455,24418.63,231.65,-9.3,13728
70,2024,9,11,85970.452886851,29.867076,-94.86563241,37843.09,309.66,-9.0,9121
71,2024,9,11,85972.435359722,28.83380404,-95.84249026,25943.53,366.77,-9.2,13704
72,2024,9,11,85975.170037498,31.4521,-93.4960979,488125.0,127.61,10.5,13857
73,2024,9,11,85979.054254268,29.92966402,-95.3107023,25827.02,337.76,-14.0,9889
74,2024,9,11,85995.943270879,29.84522031,-95.76312578,40789.07,296.03,-10.8,6048
75,2024,9,11,86000.55359286,29.41820002,-95.79187708,13879.52,354.31,-12.4,13697
76,2024,9,11,86000.742176338,29.98000414,-95.29073562,3858.84,69.13,-12.5,10144
77,2024,9,11,86003.990443915,30.56866791,-98.51645357,8628.68,185.98,2.9,13065
78,2024,9,11,86009.522472179,32.86114235,-96.30948644,212916.91,69.57,4.5,13216
79,2024,9,11,86013.192053517,30.27438593,-95.08768364,105336.26,411.88,-4.9,4777
80,2024,9,11,86018.554637159,29.37843249,-95.43965317,69157.27,423.92,-8.1,10024
81,2024,9,11,86021.345162236,33.03970205,-105.14794235,443087.97,295.6,9.6,9640
82,2024,9,11,86021.565074683,29.19284091,-95.59721602,133794.73,444.03,-7.2,9513
83,2024,9,11,86022.431450009,28.88870222,-94.77766074,72371.15,231.21,-5.5,13449
84,2024,9,11,86022.972845777,29.36833413,-93.98691297,182969.19,66.89,-1.3,1953
85,2024,9,11,86027.196620536,30.11896804,-94.59814493,136289.11,409.59,-5.8,9633
86,2024,9,11,86029.038462026,29.05335364,-96.03478226,53398.26,82.95,-9.6,9121
87,2024,9,11,86035.002956797,30.56185427,-95.91392049,241066.73,492.71,-3.5,9121
88,2024,9,11,86039.767778526,30.12807632,-95.93815239,197490.16,477.04,-3.4,4905
89,2024,9,11,86040.22227059,30.38472078,-83.72333445,1447435.32,76.88,17.1,13728
90,2024,9,11,86042.665987785,28.3542871,-94.42753087,642791.36,291.08,9.1,13096
91,2024,9,11,86043.183712063,29.63543681,-96.7850258,220300.87,297.53,-0.4,14088
92,2024,9,11,86046.967681183,30.56113588,-96.28790022,154679.4,83.76,-5.2,9121
93,2024,9,11,86047.832300618,30.83608818,-95.10725188,107072.03,255.94,-4.6,13704
94,2024,9,11,86050.939398442,29.08880308,-96.70862048,882245.16,95.11,10.1,13608
95,2024,9,11,86051.136916217,40.75704736,-98.02644217,4107730.26,486.1,27.4,14112
96,2024,9,11,86053.7382412,30.90263349,-97.64112457,116870.99,193.88,1.3,13601
97,2024,9,11,86056.466841899,30.02055199,-95.57678052,23907.11,27.18,-11.1,6048
98,2024,9,11,86058.464105214,25.91341256,-99.49442223,748581.02,471.35,7.9,9633
99,2024,9,11,86064.448285033,30.25943241,-95.07724099,70800.44,132.89,-7.1,6024
