,year,month,day,time (UT sec of day),lat,lon,alt(m),reduced chi^2,P(dBW),mask
0,2024,9,11,60018.623300481,28.39204546,-93.21357144,27876.62,40.95,3.1,13728
1,2024,9,11,60063.839840301,28.12230924,-92.1498916,29192.07,5.79,12.5,13864
2,2024,9,11,60063.961079122,27.95622144,-91.72135696,41815.84,17.42,15.2,13608
3,2024,9,11,60064.04649432,27.68948828,-90.86737257,44456.5,23.34,14.0,13608
4,2024,9,11,60064.081538084,28.24509225,-92.47369053,28748.67,7.85,10.2,13353
5,2024,9,11,60094.580930872,27.15418015,-89.18121178,104228.56,19.14,14.0,13864
6,2024,9,11,60094.587664791,23.33035653,-79.77097996,336465.93,1.49,25.7,13480
7,2024,9,11,60097.019516127,30.73253246,-96.41333527,340011.79,4.41,4.4,13608
8,2024,9,11,60107.945635753,29.48381869,-95.03832047,72970.12,26.96,-8.4,12968
9,2024,9,11,60120.608066044,27.987875,-96.16510666,101090.81,21.09,-3.4,13185
10,2024,9,11,60124.135639092,28.30408027,-92.3780344,20162.38,6.75,9.1,13864
11,2024,9,11,60124.348923629,26.32069725,-87.15184473,200319.03,37.68,17.4,13480
12,2024,9,11,60128.739170369,27.99328868,-96.97252212,399875.61,39.67,2.3,12681
13,2024,9,11,60159.648371792,28.33331234,-92.59402263,25394.55,39.79,14.4,13353
14,2024,9,11,60256.985947704,29.26597433,-96.28081525,138707.42,22.27,-4.3,13601
15,2024,9,11,60283.726970747,31.33748752,-96.0846311,393882.36,13.51,3.9,9128
16,2024,9,11,60296.137530353,29.43756597,-93.99352608,50830.16,6.68,-4.9,4521
17,2024,9,11,60300.145366854,28.89293844,-95.66967299,94269.77,17.23,-3.4,6024
18,2024,9,11,60303.384317552,28.12754071,-92.16454357,28745.82,7.04,17.8,13353
19,2024,9,11,60303.43259317,28.24867293,-92.54376289,32840.61,10.83,14.9,13353
20,2024,9,11,60303.498723314,27.67066652,-91.0591559,56161.13,36.83,23.5,13608
21,2024,9,11,60315.260429783,28.60442355,-92.89507826,20239.08,2.23,26.2,13481
22,2024,9,11,60346.167855605,28.5143168,-96.00435517,72045.6,20.9,-5.6,5537
23,2024,9,11,60393.033933324,30.0844942,-95.89985323,30011.64,48.78,-13.6,8617
24,2024,9,11,60397.672695007,28.01293609,-93.23258979,423294.73,9.52,5.1,13096
25,2024,9,11,60413.822773934,28.49123498,-92.68383323,21337.09,2.45,17.9,13865
26,2024,9,11,60418.634970871,29.87371353,-95.6685714,55308.11,33.65,-9.4,13216
27,2024,9,11,60432.530243532,28.05504322,-91.68098533,35266.96,20.84,12.3,13480
28,2024,9,11,60439.622293248,28.76829906,-97.43842033,116981.82,0.42,-3.3,12712
29,2024,9,11,60479.184057161,28.96199519,-93.53364859,1206969.67,19.25,12.0,13704
30,2024,9,11,60481.613481633,27.89991391,-91.1100935,42605.21,48.74,14.7,13353
31,2024,9,11,60482.082680434,29.51553226,-94.71374471,278594.17,13.38,1.3,13608
32,2024,9,11,60514.996898894,30.44147326,-93.17747595,58590.51,28.88,0.8,13449
33,2024,9,11,60527.956881888,28.6039517,-95.65688532,77056.68,16.51,-0.2,5800
34,2024,9,11,60557.542733638,28.58942842,-95.95033303,82198.69,22.6,-6.0,9513
35,2024,9,11,60563.273779499,30.5252303,-97.10711453,543625.29,10.31,4.6,9633
36,2024,9,11,60574.398869221,29.18221058,-96.25909309,74482.36,8.92,-2.9,13601
37,2024,9,11,60576.393989376,29.59917096,-96.23055824,164489.12,30.86,-4.8,13089
38,2024,9,11,60583.372652375,29.15055438,-95.65539937,1228377.96,10.07,13.4,13601
39,2024,9,11,60589.653239023,28.83636598,-95.23957885,66404.23,37.3,-8.3,9609
