,year,month,day,time (UT sec of day),lat,lon,alt(m),reduced chi^2,P(dBW),mask
3,2024,9,11,77595.010628109,29.37477555,-95.49535001,48232.94,0.78,-10.0,14081
22,2024,9,11,77940.393916561,28.97311063,-95.80153546,99369.18,45.47,-7.7,9097
23,2024,9,11,77942.760503602,29.96730289,-95.54688645,69951.11,26.3,-9.3,14081
25,2024,9,11,77945.225891666,30.42706635,-100.9703555,388249.59,49.92,7.8,12712
27,2024,9,11,77949.133138928,24.77022343,-99.20250659,291958.89,42.7,7.6,12712
30,2024,9,11,77960.875234025,28.6774294,-94.73093728,85548.49,24.88,-5.8,9097
