,year,month,day,time (UT sec of day),lat,lon,alt(m),reduced chi^2,P(dBW),mask
0,2024,9,11,83400.416825377,30.01922953,-95.5890758,53397.5,494.51,-12.2,13065
1,2024,9,11,83409.978966398,29.40833646,-95.73991571,97263.89,368.32,-8.8,13577
2,2024,9,11,83413.74288964,24.10655202,-98.10702866,795936.06,47.9,8.6,9633
3,2024,9,11,83414.487908889,30.37978252,-92.44079986,337065.58,432.51,3.0,13953
4,2024,9,11,83415.738657799,29.82857123,-95.12991565,321238.28,116.84,1.1,10120
5,2024,9,11,83415.864188971,29.75864419,-96.26636681,30687.53,83.22,-11.1,13697
6,2024,9,11,83417.906702276,29.92920125,-95.82251872,45081.04,382.17,-14.0,1929
7,2024,9,11,83419.856469957,29.49729959,-95.94548443,53970.47,214.52,-11.7,13192
8,2024,9,11,83421.888935616,29.53852908,-96.10633737,88962.4,245.23,-8.5,13089
9,2024,9,11,83429.552822019,29.76077628,-95.3301724,40740.88,1.17,-11.0,5537
10,2024,9,11,83435.446687706,29.48466031,-95.6757713,79817.85,141.66,-9.9,13089
11,2024,9,11,83436.237458382,30.08599285,-95.27081452,208453.3,400.44,-4.6,5513
12,2024,9,11,83436.361478624,30.11941654,-96.06775453,103800.44,140.95,-7.5,9993
13,2024,9,11,83437.611381791,29.76904139,-94.46849305,272465.79,73.24,0.4,13192
14,2024,9,11,83437.668752181,29.83710709,-96.15359338,368.83,65.44,-11.1,13601
15,2024,9,11,83440.036249508,29.21035485,-94.92637775,174364.32,366.78,-1.1,13601
16,2024,9,11,83440.247249575,30.31454526,-95.3549623,83029.75,255.51,-6.6,14088
17,2024,9,11,83440.496317022,29.5006034,-95.57796336,118519.2,161.44,-6.9,13096
18,2024,9,11,83448.781998919,29.92516595,-95.45435313,27380.36,483.42,-16.9,937
19,2024,9,11,83449.097957353,29.89238516,-97.25069239,2645.66,435.44,-5.3,4905
20,2024,9,11,83452.516179435,30.29626019,-92.02317565,663941.73,429.97,8.3,14208
21,2024,9,11,83453.33105391,29.02760425,-95.96090891,92276.64,345.45,-7.7,13065
22,2024,9,11,83453.731950395,33.26733828,-97.9161599,390669.65,179.92,6.7,13096
23,2024,9,11,83455.242886518,30.27087902,-93.3587662,351001.23,457.76,4.8,13601
24,2024,9,11,83457.24218754,22.85972008,-97.95646955,1126214.07,478.8,12.0,9633
25,2024,9,11,83461.038236086,30.15557867,-95.43945194,25903.61,0.97,-11.6,9633
26,2024,9,11,83465.472446606,29.87602653,-94.59548663,13775.44,249.45,-7.7,14208
27,2024,9,11,83469.339990933,30.25968994,-95.20844638,71896.99,426.18,-7.8,13089
28,2024,9,11,83475.718143936,29.61657436,-95.58642445,20284.96,355.95,-15.4,9633
29,2024,9,11,83476.539025476,30.64509625,-95.59316797,17650.65,455.71,-8.9,9001
30,2024,9,11,83482.643837204,29.76824515,-95.34988351,39232.93,213.84,-13.8,1929
31,2024,9,11,83487.025141547,26.69115029,-96.25509089,320185.2,102.23,3.8,12841
32,2024,9,11,83489.245853743,29.68503512,-95.71251298,75462.25,280.4,-10.1,14081
33,2024,9,11,83491.84343025,29.81126607,-94.93779787,22435.26,89.77,-9.0,10017
34,2024,9,11,83498.830601853,28.84654627,-95.33324906,31560.9,139.04,-10.3,8873
35,2024,9,11,83499.427415979,29.85078454,-97.02719566,159797.94,164.34,-2.6,13192
36,2024,9,11,83499.794068417,30.83438746,-96.73503839,598946.39,401.66,6.8,14112
37,2024,9,11,83500.04666722,29.00766308,-96.76212768,237621.96,65.55,-2.9,10113
38,2024,9,11,83502.180779526,30.11043194,-95.18002254,60993.03,428.62,-10.2,9993
39,2024,9,11,83509.413062144,29.91599586,-95.53812883,14906.64,295.77,-11.4,5921
40,2024,9,11,83513.150944816,27.96949845,-97.78884834,31821.75,165.7,-2.0,4521
41,2024,9,11,83515.424654137,29.53255833,-95.57399197,22076.1,241.64,-12.8,13984
42,2024,9,11,83515.735249802,30.80898664,-95.40790926,262959.93,315.56,0.2,12457
43,2024,9,11,83516.626649075,29.91178991,-95.00839523,362421.85,28.72,0.0,13185
44,2024,9,11,83516.910105154,30.77863666,-93.61021283,163160.48,474.49,0.1,9128
45,2024,9,11,83517.007574962,28.0411584,-93.73746095,252283.46,263.71,0.8,9128
46,2024,9,11,83517.025789523,28.11657283,-93.44874887,79532.9,292.93,-1.6,12937
